symbol,bidPrice,bidQty,askPrice,askQty
ARKETH,0.00000000,0.00000000,0.00000000,0.00000000
YOYOETH,0.00000000,0.00000000,0.00000000,0.00000000
XRPBTC,0.00002085,72875.00000000,0.00002087,22826.00000000
XRPETH,0.00084306,5498.00000000,0.00084446,5500.00000000
MODBTC,0.00000000,0.00000000,0.00000000,0.00000000
MODETH,0.00000000,0.00000000,0.00000000,0.00000000
ENJBTC,0.00002019,5905.00000000,0.00002026,1729.00000000
ENJETH,0.00081635,428.00000000,0.00082076,2063.00000000
STORJBTC,0.00001361,13.00000000,0.00001368,531.00000000
STORJETH,0.00055260,13.00000000,0.00055470,6028.00000000
BNBUSDT,17.47430000,10.61000000,17.48020000,5.59000000
VENBNB,0.00000000,0.00000000,0.00000000,0.00000000
YOYOBNB,0.00000000,0.00000000,0.00000000,0.00000000
POWRBNB,0.00000000,0.00000000,0.00000000,0.00000000
VENBTC,0.00000000,0.00000000,0.00000000,0.00000000
VENETH,0.00000000,0.00000000,0.00000000,0.00000000
KMDBTC,0.00006920,239.86000000,0.00006950,84.59000000
KMDETH,0.00280700,0.88000000,0.00281800,453.70000000
NULSBNB,0.00000000,0.00000000,0.00000000,0.00000000
RCNBTC,0.00000801,2296.00000000,0.00000804,58.00000000
RCNETH,0.00000000,0.00000000,0.00000000,0.00000000
RCNBNB,0.00000000,0.00000000,0.00000000,0.00000000
NULSBTC,0.00003381,2504.00000000,0.00003383,6.00000000
NULSETH,0.00136412,244.00000000,0.00137059,35.00000000
RDNBTC,0.00001511,2581.00000000,0.00001514,137.00000000
RDNETH,0.00000000,0.00000000,0.00000000,0.00000000
RDNBNB,0.00000000,0.00000000,0.00000000,0.00000000
XMRBTC,0.00692600,20.78800000,0.00692800,0.02700000
XMRETH,0.27993000,9.41600000,0.28055000,7.64600000
DLTBNB,0.00000000,0.00000000,0.00000000,0.00000000
WTCBNB,0.01952000,80.00000000,0.01962000,51.80000000
DLTBTC,0.00000475,3580.00000000,0.00000478,2462.00000000
DLTETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBTC,0.00000138,384815.00000000,0.00000139,17057.00000000
AMBETH,0.00000000,0.00000000,0.00000000,0.00000000
AMBBNB,0.00000000,0.00000000,0.00000000,0.00000000
BCCETH,0.00000000,0.00000000,0.00000000,0.00000000
BCCUSDT,0.00000000,0.00000000,0.00000000,0.00000000
BCCBNB,0.00000000,0.00000000,0.00000000,0.00000000
BATBTC,0.00002500,2000.00000000,0.00002502,7175.00000000
BATETH,0.00100901,2000.00000000,0.00101241,1070.00000000
BATBNB,0.01396000,10.30000000,0.01398000,2049.30000000
BCPTBTC,0.00000235,24507.00000000,0.00000236,16144.00000000
BCPTETH,0.00000000,0.00000000,0.00000000,0.00000000
BCPTBNB,0.00000000,0.00000000,0.00000000,0.00000000
ARNBTC,0.00001435,434.00000000,0.00001440,10.00000000
ARNETH,0.00057968,24.00000000,0.00058431,19.00000000
GVTBTC,0.00009780,505.90000000,0.00009820,34.13000000
GVTETH,0.00000000,0.00000000,0.00000000,0.00000000
CDTBTC,0.00000048,1358243.00000000,0.00000049,2591933.00000000
CDTETH,0.00001967,9883.00000000,0.00001968,32265.00000000
GXSBTC,0.00005321,451.00000000,0.00005351,211.00000000
GXSETH,0.00214700,178.34000000,0.00216400,2811.85000000
NEOUSDT,12.07500000,161.63300000,12.09000000,161.59800000
NEOBNB,0.69080000,0.27000000,0.69240000,41.95000000
POEBTC,0.00000019,33465093.00000000,0.00000020,13978575.00000000
POEETH,0.00000000,0.00000000,0.00000000,0.00000000
QSPBTC,0.00000131,72429.00000000,0.00000132,420644.00000000
QSPETH,0.00005301,906.00000000,0.00005335,19545.00000000
QSPBNB,0.00000000,0.00000000,0.00000000,0.00000000
BTSBTC,0.00000234,3441.00000000,0.00000235,243281.00000000
BTSETH,0.00000000,0.00000000,0.00000000,0.00000000
BTSBNB,0.00000000,0.00000000,0.00000000,0.00000000
XZCBTC,0.00048790,1.74000000,0.00048800,0.32000000
XZCETH,0.01969900,9.63000000,0.01978500,27.57000000
XZCBNB,0.27180000,180.31000000,0.27320000,67.04000000
LSKBTC,0.00012750,489.30000000,0.00012800,488.80000000
LSKETH,0.00516300,80.72000000,0.00517800,301.04000000
LSKBNB,0.00000000,0.00000000,0.00000000,0.00000000
TNTBTC,0.00000373,58500.00000000,0.00000375,53765.00000000
TNTETH,0.00015080,84.00000000,0.00015189,1717.00000000
FUELBTC,0.00000034,9036655.00000000,0.00000035,2974678.00000000
FUELETH,0.00000000,0.00000000,0.00000000,0.00000000
MANABTC,0.00000425,85398.00000000,0.00000426,10918.00000000
MANAETH,0.00017150,1759.00000000,0.00017220,4860.00000000
BCDBTC,0.00006000,327.00000000,0.00006021,3.00000000
BCDETH,0.00242000,2826.60600000,0.00245000,9362.47100000
DGDBTC,0.00000000,0.00000000,0.00000000,0.00000000
DGDETH,0.00000000,0.00000000,0.00000000,0.00000000
IOTABNB,0.01419000,8.50000000,0.01422000,2983.10000000
ADXBTC,0.00000995,6335.00000000,0.00000996,11.00000000
ADXETH,0.00040250,2546.00000000,0.00040360,522.00000000
ADXBNB,0.00000000,0.00000000,0.00000000,0.00000000
ADABTC,0.00000902,371198.00000000,0.00000903,475.00000000
ADAETH,0.00036476,3424.00000000,0.00036543,25920.00000000
PPTBTC,0.00003824,355.00000000,0.00003852,45.00000000
PPTETH,0.00000000,0.00000000,0.00000000,0.00000000
CMTBTC,0.00000114,384049.00000000,0.00000115,148429.00000000
CMTETH,0.00004602,65779.00000000,0.00004657,3802.00000000
CMTBNB,0.00000000,0.00000000,0.00000000,0.00000000
XLMBTC,0.00000835,131753.00000000,0.00000836,232.00000000
XLMETH,0.00033801,100.00000000,0.00033871,6233.00000000
XLMBNB,0.00466600,6148.00000000,0.00468000,27462.00000000
CNDBTC,0.00000072,297986.00000000,0.00000073,1018310.00000000
CNDETH,0.00000000,0.00000000,0.00000000,0.00000000
CNDBNB,0.00000000,0.00000000,0.00000000,0.00000000
LENDBTC,0.00000606,50.00000000,0.00000607,2692.00000000
LENDETH,0.00024456,50.00000000,0.00024598,6442.00000000
WABIBTC,0.00001265,1138.00000000,0.00001272,13.00000000
WABIETH,0.00000000,0.00000000,0.00000000,0.00000000
WABIBNB,0.00708900,178.00000000,0.00710600,93.00000000
LTCETH,0.19564000,12.48400000,0.19581000,41.32600000
LTCUSDT,47.26000000,3.99243000,47.28000000,155.08844000
LTCBNB,2.70100000,11.09100000,2.70400000,0.33600000
TNBBTC,0.00000019,14611045.00000000,0.00000020,19537102.00000000
TNBETH,0.00000000,0.00000000,0.00000000,0.00000000
WAVESBTC,0.00011520,561.75000000,0.00011550,563.40000000
WAVESETH,0.00465200,303.41000000,0.00468200,266.94000000
WAVESBNB,0.06423000,303.50000000,0.06467000,1.80000000
GTOBTC,0.00000074,977484.00000000,0.00000075,2074079.00000000
GTOETH,0.00002996,7456.00000000,0.00003040,6898.00000000
GTOBNB,0.00000000,0.00000000,0.00000000,0.00000000
ICXBTC,0.00003428,167.00000000,0.00003433,3629.00000000
ICXETH,0.00138500,7.23000000,0.00139000,2411.31000000
ICXBNB,0.01914000,7.70000000,0.01918000,438.80000000
OSTBTC,0.00000095,558231.00000000,0.00000097,1074938.00000000
OSTETH,0.00003878,792.00000000,0.00003915,53343.00000000
OSTBNB,0.00000000,0.00000000,0.00000000,0.00000000
ELFBTC,0.00000924,812.00000000,0.00000928,2875.00000000
ELFETH,0.00037382,534.00000000,0.00037548,325.00000000
AIONBTC,0.00001152,23.00000000,0.00001154,10266.00000000
AIONETH,0.00046500,103.41000000,0.00046700,2281.90000000
AIONBNB,0.00640500,5304.00000000,0.00645700,5753.00000000
NEBLBTC,0.00005730,48.00000000,0.00005761,1.00000000
NEBLETH,0.00232500,7.00000000,0.00234500,217.08000000
NEBLBNB,0.03207000,14.20000000,0.03224000,9.50000000
BRDBTC,0.00001155,240.00000000,0.00001157,11624.00000000
BRDETH,0.00046600,240.00000000,0.00046780,1397.00000000
BRDBNB,0.00642000,8073.30000000,0.00645000,229.00000000
MCOBNB,0.00000000,0.00000000,0.00000000,0.00000000
EDOBTC,0.00005532,749.00000000,0.00005544,432.00000000
EDOETH,0.00223300,2338.13000000,0.00225100,512.34000000
WINGSBTC,0.00000000,0.00000000,0.00000000,0.00000000
WINGSETH,0.00000000,0.00000000,0.00000000,0.00000000
NAVBTC,0.00001239,30.00000000,0.00001240,13.00000000
NAVETH,0.00000000,0.00000000,0.00000000,0.00000000
NAVBNB,0.00000000,0.00000000,0.00000000,0.00000000
LUNBTC,0.00009280,1005.13000000,0.00009310,1.92000000
LUNETH,0.00000000,0.00000000,0.00000000,0.00000000
TRIGBTC,0.00000000,0.00000000,0.00000000,0.00000000
TRIGETH,0.00000000,0.00000000,0.00000000,0.00000000
TRIGBNB,0.00000000,0.00000000,0.00000000,0.00000000
APPCBTC,0.00000398,76706.00000000,0.00000400,8724.00000000
