id,price,qty,quoteQty,time,isBuyerMaker,isBestMatch
178090070,0.02527200,1.12800000,0.02850681,1591233007494,True,True
178090071,0.02527200,0.28800000,0.00727833,1591233007695,True,True
178090072,0.02527400,0.40500000,0.01023597,1591233007707,False,True
178090073,0.02527100,19.89500000,0.50276654,1591233007803,True,True
178090074,0.02527100,14.03700000,0.35472902,1591233007907,True,True
178090075,0.02527000,1.92400000,0.04861948,1591233008012,True,True
178090076,0.02526800,0.00500000,0.00012634,1591233008017,True,True
178090077,0.02526700,0.04700000,0.00118754,1591233008017,True,True
178090078,0.02526600,0.00800000,0.00020212,1591233008017,True,True
178090079,0.02526500,0.04000000,0.00101060,1591233008017,True,True
178090080,0.02526500,2.04600000,0.05169219,1591233008017,True,True
178090081,0.02526400,0.45000000,0.01136880,1591233008017,True,True
178090082,0.02526400,0.00600000,0.00015158,1591233008017,True,True
178090083,0.02526400,1.00000000,0.02526400,1591233008017,True,True
178090084,0.02526300,0.35200000,0.00889257,1591233008017,True,True
178090085,0.02527100,0.78400000,0.01981246,1591233008123,False,True
178090086,0.02527200,0.00700000,0.00017690,1591233008123,False,True
178090087,0.02527200,0.05900000,0.00149104,1591233008123,False,True
178090088,0.02527200,0.15900000,0.00401824,1591233008129,False,True
178090089,0.02527200,0.66400000,0.01678060,1591233008619,False,True
178090090,0.02527200,0.00600000,0.00015163,1591233009399,False,True
178090091,0.02527200,0.09500000,0.00240084,1591233010066,False,True
178090092,0.02527200,0.01700000,0.00042962,1591233010668,False,True
178090093,0.02527400,5.42700000,0.13716199,1591233012131,False,True
178090094,0.02527400,8.55400000,0.21619379,1591233012131,False,True
178090095,0.02527300,0.02300000,0.00058127,1591233012285,False,True
178090096,0.02527400,0.72100000,0.01822255,1591233012348,False,True
178090097,0.02527300,1.08300000,0.02737065,1591233012623,False,True
178090098,0.02527600,3.30700000,0.08358773,1591233015021,True,True
178090099,0.02527500,0.00700000,0.00017692,1591233015197,True,True
178090100,0.02527400,0.48200000,0.01218206,1591233015197,True,True
178090101,0.02527600,0.25700000,0.00649593,1591233017357,True,True
178090102,0.02527500,0.00700000,0.00017692,1591233022390,True,True
178090103,0.02527400,3.94700000,0.09975647,1591233022390,True,True
178090104,0.02527400,3.56000000,0.08997544,1591233022429,True,True
178090105,0.02527900,0.00700000,0.00017695,1591233025818,False,True
178090106,0.02528000,1.00500000,0.02540640,1591233025818,False,True
178090107,0.02527900,0.00700000,0.00017695,1591233030008,False,True
178090108,0.02527900,1.72800000,0.04368211,1591233030093,True,True
178090109,0.02527500,0.00700000,0.00017692,1591233030093,True,True
178090110,0.02527400,2.21900000,0.05608300,1591233030093,True,True
178090111,0.02528000,2.08300000,0.05265824,1591233030171,False,True
178090112,0.02528000,1.08200000,0.02735296,1591233030304,True,True
178090113,0.02527500,0.00700000,0.00017692,1591233032144,True,True
178090114,0.02527500,0.01400000,0.00035385,1591233034884,False,True
178090115,0.02527500,0.00800000,0.00020220,1591233044016,False,True
178090116,0.02528100,0.00700000,0.00017696,1591233044016,False,True
178090117,0.02528100,0.98500000,0.02490178,1591233044016,False,True
178090118,0.02527600,5.00000000,0.12638000,1591233046154,True,True
